comment,rate,created_at,operator_name
"The staff was very kind, helpful and explained im a god english the whole border crossing procedure. Howevwr the bus was not what we expected. It was and old and not so comfortable bus, seems at least 30 years old. The delay was due to Viet border staff.",3.4,2017-01-28 11:59:04 UTC,Mekong Express
The bus arrived an hour and a half late. Both of our seats were broken. Employees told us misleading instrutions at border. And we've  been  dropped off in the middle of a busy street!!!  We should have took the plane instead. I dont  recommand it at all.,1,2017-01-28 13:15:54 UTC,Virak Buntham Old
,4,2017-01-29 10:04:35 UTC,CamPost
Really great! Even little bit faster than expected :),5,2017-01-29 11:28:33 UTC,CamPost
"Apart from the Restroom at the Siem Reap Bus Station which desperately needs some maintenance, I can only highly recommend the Nattakan Bus Service to everyone who plans to travel from Siem Reap to Bangkok or vice versa! Much easier and more comfortable t",5,2017-01-29 13:27:45 UTC,Nattakan
Great service as always. Arrived earlier than scheduled after a comfortable journey. ,5,2017-01-29 13:58:33 UTC,CamPost
Excellent value and professionalism overall. Cambodia POST VIP Van departed and arrived on time. Comfortable seats. Stopped 2 times for using the bathroom or eating/drinking. Great way to travel across Cambodia...post office to post office!,3.6,2017-01-30 01:16:52 UTC,CamPost
"I enjoyed the ride to Siem Reap from Phnom Penh. Well equipped bus, received water and snack, good service, modern bus, WIFI, electricity and A/C. I would choose PSD Express every time again.",4.6,2017-01-30 02:28:51 UTC,PSD Xpress
"We booked a pick up from the hotel (confirmed via email) but no one ever showed up, so we missed the bus and went to the bus station ourselves where the guy in charge told us that he does not receive pick up requests from the headquarters. Big joke. ",2.2,2017-01-30 10:04:49 UTC,Nattakan
There was no aircondition in the bus. Its overall condition was really bad. The bus had a 2 hour delay at the pickup because it picked up a wrong passenger at first and had to drop her off later. We missed the ferry we were planning to take.,1.8,2017-01-30 10:20:31 UTC,Mekong Explore
"BookMeBus sold me a direct night bus that was suppose to take 10h that finally has a connection and took 13h, making me rush for my connection and finish up my night on the floor of a shitty Terminal. When asked, BookMeBus never replied. never again.",1.6,2017-01-30 11:27:56 UTC,Virak Buntham Old
"BookMeBus sold me a direct night bus that was suppose to take 10h that finally has a connection and took 13h, making me rush for my connection and finish up my night on the floor of a shitty Terminal. When asked, BookMeBus never replied. never again.",1.6,2017-01-30 11:27:57 UTC,Virak Buntham Old
,4.8,2017-01-30 11:28:00 UTC,Seila Angkor Khmer Express
"old, shitty bus - door did not open after stop in Kampong Thom... punctuality okay, traffic is not their fault. service good, but there are way better and more modern busses.",3,2017-01-30 11:36:09 UTC,Mekong Express
Very good and welcoming service ! ,4.8,2017-01-30 13:28:16 UTC,Nattakan
"The bus was in total 2hrs late  (initial departure time 1.15 pm. Final time 3.00pm)
The driver didn't speak a word of English and couldn't tell me which stop to get off
Bus wasn't cleaned and still had rubbish from previous trip
Too expensive for value",1,2017-01-30 16:41:26 UTC,Phnom Penh Sorya
,5,2017-01-30 21:16:56 UTC,CTT Transportation
"I always take Seila Express. The only thing that worried me is that the bus driver drove too close to other cars and I was worried that he wouldn't have enough time to stop. However, he did better when we were away from the city and the highway was clear.",4.4,2017-01-31 00:28:41 UTC,Seila Angkor Khmer Express
"I always take Seila Express. The only thing that worried me is that the bus driver drove too close to other cars and I was worried that he wouldn't have enough time to stop. However, he did better when we were away from the city and the highway was clear.",4.4,2017-01-31 00:29:15 UTC,Seila Angkor Khmer Express
"I always take Seila Express. The only thing that worried me is that the bus driver drove too close to other cars and I was worried that he wouldn't have enough time to stop. However, he did better when we were away from the city and the highway was clear.",4.4,2017-01-31 00:29:44 UTC,Seila Angkor Khmer Express
"The bus ride was great. Left 5 minutes late, but still got to Battambang on time. I had booked my ticket earlier, but they said that there were no seats left for me. I ended up sitting on a seat in the aisle. It was OK, but I was thankful to get a ride. ",4.4,2017-01-31 00:34:23 UTC,Mekong Express
"I had a direct night bus ticket with that company that ended up having a connection, finishing my night on a hard bench... Because of this, we were 3 hours late and I nearly miss my ferry. Of course, Virak Buntham never apologize or offer anything.",1.4,2017-01-31 01:09:25 UTC,Virak Buntham Old
"I had a direct night bus ticket with that company that ended up having a connection, finishing my night on a hard bench... Because of this, we were 3 hours late and I nearly miss my ferry. Of course, Virak Buntham never apologize or offer anything.",1.4,2017-01-31 01:09:25 UTC,Virak Buntham Old
The back seat it built for kids.,1.6,2017-01-31 02:52:47 UTC,Bayon VIP
"The ticket said 7.30. You guys recommend being there 30 min before.  The boat actually left around 8.30. Before The long boatride I had to wait 1.5h. 
The legroom on The boat is bad.
The toilet is really bad.
The number of lifevests is bad.
",2,2017-01-31 03:29:13 UTC,Mekong Explore
A good service in the sense that it made the border crossing easy. However the advertised time for arrival was wrong by several hours. It was also inconvenient to have a long scheduled lunch break in Stung Treung. ,2.6,2017-01-31 05:21:13 UTC,Asia Van Transfer
Worst bus company ever. Dont use this company! ,1,2017-01-31 05:31:27 UTC,Champa Mekong
"Overall, service is good. Less hassle too. Bus conductor  is very accommodating and we were on time. The only thing is, the bus toilet smells so bad. Even if the door is closed, I can still smell the toilet. Toilet is awful.",4.2,2017-01-31 10:08:46 UTC,Nattakan
Good on time,4.2,2017-01-31 10:10:01 UTC,CTT Transportation
"Excellent and safe driver, no excessive speed.  The seats were comfortable, and the border transit was very well managed. The en-route meal was very good, far better than on Thai railway from Bangkok to Chiang Mai.",4.4,2017-01-31 13:58:33 UTC,Nattakan
"Driver could be a racer. We were racing 50% on the left lane.... Insane maneuvers. 
We have booked 2 seats that have been taken already.  No help from staff to get our reserved seats. Bus was okay. We were on time and we were dropped at the airport. ",2.6,2017-01-31 23:58:09 UTC,CTT Transportation
,4.4,2017-02-01 04:32:08 UTC,Kim Seng Express
"i wait a lot of time at the hotel
The bus was not the bus i shaw
Just under my head the fan was broken
So i was cold along the travel",4,2017-02-01 05:21:25 UTC,Mekong Express
Good,5,2017-02-01 11:33:33 UTC,Larryta Bus
Driver made a disgusting noise the whole way. Bus was boiling hot. No wifi as advertised. Would choose a different company next time. ,2.4,2017-02-01 11:48:01 UTC,Mekong Express
"I booked for a dobbeltbed. I got two singels. That was really a problem because me and my boyfriend could't ly together, and he is 200 cm so that was really a problem. I confronted the staff, but they didnt do anything. ",3.4,2017-02-01 13:57:43 UTC,Virak Buntham Old
,1.8,2017-02-02 03:00:25 UTC,Mekong Explore
Great journey! Had heard lots of bad stories of bus journeys across the borders into Cambodia but we had no troubles on this journey! Bus was spacious and clean! Staff were very friendly and helpful when it came to approaching the border! Highly recommend,5,2017-02-02 04:34:48 UTC,Nattakan
"We booked two seats on a 11 seater van and picked the last row, it was very crowded even for a small sized Asian female.  Only three seats should fit in the last row as in the other two rows but instead 4 seats were fitted in and that made it so crowded.",4.4,2017-02-02 10:08:39 UTC,Mekong Express
The bus driver is not friendly & keeps on shouting at passengers using Thai. I also ask for them to drop us at a place nearby our hotel but they didn't even notify me that we could go down at a place along the highway where one couple was dropped. ,3,2017-02-02 10:12:15 UTC,Nattakan
,5,2017-02-02 10:20:34 UTC,Nattakan
"The driver nearly crashed with a car in oncimming traffic when trying to overtake a truck. The driver took many risks when driving.
There was not enough room for everyones luggage and we ended up having to cram it in between seats. No WiFi at all.",2,2017-02-02 12:20:37 UTC,CTT Transportation
"The driver nearly crashed with a car in oncimming traffic when trying to overtake a truck. The driver took many risks when driving.
There was not enough room for everyones luggage and we ended up having to cram it in between seats. No WiFi at all.",1.8,2017-02-02 12:21:05 UTC,CTT Transportation
"I was very pleased with bus and service overall, however when arriving in sihanoukville we were not dropped at the bus station but left outside of town forcing me to spend 5 dollars on a taxi. Before this I was extremely pleased with the journey.",4.2,2017-02-02 14:16:14 UTC,Mekong Express
"Driver drove us to Han Tien border, we crossed the border and then waited for the driver to show up... for 1,5 hours. Somebody of the locals then organised further transport, driver never showed up again. Missed ferry. Transport minivan in bad condition.",1,2017-02-02 15:27:03 UTC,Mekong Explore
,5,2017-02-02 23:19:07 UTC,Nattakan
,3.8,2017-02-03 00:35:26 UTC,Mekong Express
"We payed the transfer from the boat to siem reap at Phnom Penh but the driver asked 5$ mire un siem reap. Not professional and disapointing. 
Travel Easy, landscape not do beautifil, be careful of sun !!",2.4,2017-02-03 11:00:33 UTC,Mekong Explore
"Was forced to spend extra $20 for a ""special visa service"" by the inspector, who implied he would drop me at the border and would not bring my passport with the others if I did not pay him $20 for the special service. I was cheated by this company.",1.6,2017-02-03 11:23:58 UTC,Mekong Express
,4.4,2017-02-03 11:27:50 UTC,Mekong Express
"We didn't have a good experience with this company. Our bus got broken on the way and we had delay of 3 hours. Air conditioning was not working properly so we got a bad smell from a bathroom as well. Moreover, a company's stuff stole my headphones.",1.6,2017-02-03 12:18:04 UTC,Virak Buntham Old
The bus itself was very comfortable but the bus and my seat changed last minute. Problem is: NO SEATBELTS in the back row. So anxious with local driving being what it is. I was upset cuz I didn't realize until after we left the bilingual agency office. ,3.6,2017-02-03 13:18:37 UTC,CTT Transportation
,5,2017-02-04 02:26:01 UTC,Mekong Express
,5,2017-02-04 02:26:37 UTC,Mekong Express
"CTT was terribly bad and I wouldn't recommend to take their mini buses.The office staff were unfriendly, especially the oldest lady was impolite.The driver drived terribly fast that make somebody on board sick.Got wrong gasline,wasted everyone's time",1,2017-02-04 09:08:53 UTC,CTT Transportation
Free hotel pickup on time. Staff very friendly and helpful. Unfortunately issue with bus led to a one hour delay. Overall a good trip though. ,4,2017-02-04 10:18:56 UTC,Mekong Express
Our seats were sold twice-we were asked to seat at the back of the bus even though we had our seats reservation confirmed.My husband suffers from travel sickness so he cannot seat at the back.We explained it to the stuff but they were unwilling to help.,2.8,2017-02-04 10:44:44 UTC,Mekong Express
"I really recommend this operator! It was organised and the trip is good. You get some drinks, a snack and lunch for free! Bus stops before entering the border. Waits for everyone on the other site. Getting your visa is obviously your own business.",4,2017-02-04 10:46:52 UTC,Nattakan
"Great booking service. Fast and helpful.
Only not cool that the Kim Seng in PP was uncaring/unhelpful when tuk tuk drivers wanted to charge us more from the office to PNH airport than the entire ride from Siem Reap to PP...",4.2,2017-02-04 11:24:50 UTC,Kim Seng Express
"Great booking service. Fast and helpful.
Only not cool that the Kim Seng in PP was uncaring/unhelpful when tuk tuk drivers wanted to charge us more from the office to PNH airport than the entire ride from Siem Reap to PP...",4.2,2017-02-04 11:25:30 UTC,Kim Seng Express
"No complaints here. The van left on time and the trip lasted 5 hours, including a half hour stop for lunch. There were also several brief stops to pick up additional passengers.",5,2017-02-04 13:44:04 UTC,CamPost
"Terrible. We were put right at the back of the bus, even though we had picked our seats when we booked. Very hot and no leg room. ",2.4,2017-02-05 04:50:54 UTC,Kampot Express
Everything we've very smoothly. Very much appreciate the inspector showing photos of the offices on the border. It was a great help! Very friendly and professional service. I would recommend to others,4.8,2017-02-05 10:10:34 UTC,Nattakan
"our trip was smooth, driver and staff are helpful, except for the TOILET smells really bad.They should be clean it atleast every 2 hours. ",3.6,2017-02-05 10:14:44 UTC,Nattakan
"Mekong charges an unfair""service fee""in the amount of 5$ due to not existing fees for customs or whatever, which you usually don't have to pay,e.g.at the airport.Anyways you should pay,if not,it could be that you alone spend to much time at the border...",4,2017-02-06 05:27:05 UTC,Mekong Express
,4.6,2017-02-06 05:32:09 UTC,Thy Socheata (T.C.T.) Express
"5h instead of 6 (sr to pp). Driver was good.
comfort is not very good for tall people...",3.2,2017-02-06 06:21:30 UTC,Larryta Bus
,5,2017-02-06 09:57:13 UTC,Mekong Express
,4.6,2017-02-06 10:35:35 UTC,Mekong Express
,3.6,2017-02-06 11:07:40 UTC,Mekong Express
,5,2017-02-06 13:27:19 UTC,Mekong Express
"Departure time announced on Bookmebus did not correspond to the sign where the bus left. It was 3pm and not 2.30pm. The bus was late and left Kep only at 3.20pm, collected passegers, went to Kampot to change bus. No seats. Trip 5.5h with wait. Horrific! ",1.4,2017-02-06 15:24:40 UTC,Champa Mekong
,1.8,2017-02-06 18:01:02 UTC,CTT Transportation
,4,2017-02-06 18:02:06 UTC,Mekong Express
"more than 4h but good driver, comfortable seats.",3.8,2017-02-07 06:44:08 UTC,Mekong Express
"Bus left promptly at 06:00 and arrived at around 18:30. We stopped a few times for bathroom breaks. For meals, you get a pastry/juice/can of coffee and a microwaved rice dish. Border crossing was smooth; the bus just drops you off and picks you up.",4.6,2017-02-07 10:11:58 UTC,Nattakan
"This is the second time I've chosen Mekong and the second time the bus has either broken down or had a puncture. Also I had booked an 11 seat van, but was transferred onto a big bus for the second half of my journey.. not ideal",3.4,2017-02-07 10:20:39 UTC,Mekong Express
" All of the foreigners were forced off the van onto another van operated by Green Eagle Express. Instead of 5 hours, it took 7+ hours. When we arrived in Siem Reap we were taken to a bus station many kilometers from town and forced to buy a tuk tuk ",1,2017-02-07 11:16:08 UTC,Kim Seng Express
"Everything was great with the service. Nice friendly staff who helped a lot with crossing the boarder. Snacks, food and water provided. Not loud music or freezing like usual case. But need more info about arrival to bus terminal in bkk. Was very confusing",4.8,2017-02-07 14:51:48 UTC,Nattakan
A/c on the bus works Very well so wear some extra clothes. Border passing is a bit surrealistic. Dont listen to the People trying to help you get  visa before you have gone through thai borde.r.,4.8,2017-02-08 10:20:49 UTC,Nattakan
"I booked seat A5, but that was taken when I arrived at the terminal in Bangkok.  The representative kept saying something like 'agency'...your system isn't coordinated with the bus line.",4.2,2017-02-08 12:04:03 UTC,Nattakan
"For the price very good value - very local experiene - enough space - not as fast as the VIP van, but way cheaper",3.4,2017-02-08 13:12:55 UTC,Phnom Penh Sorya
Best way to travel around cambodia.  Safest drivers. Comfy van w/wifi. ,4.8,2017-02-09 02:50:46 UTC,CamPost
,3.2,2017-02-09 07:37:58 UTC,Nattakan
The staff was very rude and the Seats are terrible,1,2017-02-09 10:02:04 UTC,Larryta Bus
Driver drove really really fast.,4.2,2017-02-09 10:22:24 UTC,Mekong Express
"Good trip! Unexpectingly good food, nice staff!",3.8,2017-02-09 10:53:50 UTC,Nattakan
"Small breakfast and lunch. Only 9 hours of driving, great! No wifi for those who cannot live without ;)",4.6,2017-02-09 11:25:55 UTC,Nattakan
"Comfortable bus, safe driving and on time. Excellent all round ",5,2017-02-09 15:59:07 UTC,CamPost
,5,2017-02-09 16:34:02 UTC,Mekong Express
Operator in Siem Reap told me we would be on 1 bus entire journey. Ordered off bus in Phnom Penh. Station employees in PP were asleep. They were unable to tell me when next bus would be arriving. Very rude personnel. Ignored us. It ended up being a van. ,2.8,2017-02-09 18:41:15 UTC,Virak Buntham Old
"Crampt and horrible. Got us there in time but it was extremely uncomfortable. No room for feet. People trampling all over our bags. 

Driver made a comment to all of the bus in Khmer about us (two westerners) in which everyone laughed.

",1.6,2017-02-10 03:42:41 UTC,Meanchey VIP Express
,5,2017-02-10 12:39:14 UTC,Thy Socheata (T.C.T.) Express
"Safe driver, comfortable van, good value for money",5,2017-02-10 14:44:51 UTC,CamPost
The restaurant at stop was not clean ,4.2,2017-02-10 15:23:22 UTC,Mekong Express
Driver left us far from siganoukville and drove off before we could realise (first time there). He left us by 4 tuktuk drivers he probably knew and since we couldn't get to the town without them we had to take their expensive price of $18. DO NOT USE!!!,1,2017-02-11 03:51:25 UTC,CamPost
Good service easy to use ,4.2,2017-02-11 05:54:24 UTC,Meanchey VIP Express
"Good driver, comfortable vehicle, arrived on time but left a little late but I would definitely use again.  ",4.8,2017-02-11 07:55:41 UTC,CamPost
,3.2,2017-02-11 10:17:22 UTC,Nattakan
It would be better if we wouldn't run and overtake while honking constantly and arrive a bit more late in my destination. Eitherwise everything was very good. Staff was friendly and attentive and minivan was in good condition.,4.6,2017-02-11 10:49:50 UTC,Kampot Express
Very good,5,2017-02-11 11:06:05 UTC,Virak Buntham Old
Nice to have snacs on the way.Kind service.,4.2,2017-02-11 15:13:12 UTC,Nattakan
"That was my birthday, thanks to that boat trip I had lovely and unforgotten time",4.6,2017-02-12 01:48:00 UTC,Mekong Explore
Everything is perfect!,5,2017-02-12 10:12:14 UTC,Mekong Express
"If you are over 5'2 you will not be able to lie down flat. Also if you do not know who you are next too it's very intimate! Numerous stops made by driver, and ended up arriving over two hours late. Driver drove incredibly fast and had loud music on",2,2017-02-12 10:13:15 UTC,Virak Buntham Old
Is it normal that we made a 30 minutes break during the  3 hours trip?! ,2.6,2017-02-12 12:10:17 UTC,Mekong Express
"Great service - bus on time & no problems during journey.
Staff all great. Regular meals given throughout.
Easy to book.
Would use again",4.8,2017-02-12 15:42:09 UTC,Nattakan
The experience was an absolute nightmare. The seats are absolutely crammed together so you will have literally zero leg room. The air con comes and goes. The driver was reckless and I'm just glad we got to Mondulkiri alive. ,1.8,2017-02-13 00:28:54 UTC,Thy Socheata (T.C.T.) Express
,5,2017-02-13 03:20:22 UTC,CamPost
,4.2,2017-02-13 04:34:26 UTC,Mekong Express
,4,2017-02-13 04:35:23 UTC,Mekong Express
"Cambodia Post VIP Van offers safe, reliable travel between post offices all across Cambodia.Compared to other transportation options on Cambodian roads,Cambodia Post VIP Van is an excellent long-distance option.It is reasonably priced, safe, and on time.",4,2017-02-14 01:14:06 UTC,CamPost
Good service,4.2,2017-02-14 09:00:29 UTC,Mekong Express
"Great trip, we were picked up on time and the bus even arrived early in Sihanoukville.
Very comfortable bus with good aircon and great legroom. Nothing to complain about.",4.4,2017-02-14 09:59:19 UTC,Mekong Express
We had aisle passengers who were locals I guess. We waited for them on the Cambodian side for 40 minutes after all visas were done. We then stopped near Siem Reap for them to do something and waited again for 20 minutes. ,4.2,2017-02-14 10:05:45 UTC,Nattakan
,4,2017-02-14 10:09:28 UTC,Virak Buntham Old
"Perfect experience! We went from Phnom Penh to Siam Reap - journey started on time and it took us about 5,5 hours to get to Siam Reap! Driver was very careful and we stopped two times! 
Totally recommended!",5,2017-02-14 10:45:35 UTC,CamPost
Very happy with the service. Left 15 mins later than scheduled but that is Cambodia. Staff put the bags gently onto the ground and done everything at the border. ,5,2017-02-14 11:09:22 UTC,Sapaco
"SHAME ON YOU
nobody came for the pick up you din't answear the phone and your office was close ! A shamed Never used your comagnie anynmore stoler !  ",1,2017-02-14 11:31:41 UTC,Rith Travel
"Very old bus,uncomfortable seats and 1,5 hours of delay. Quick border pass,friendly inspector.
",2.4,2017-02-14 11:34:32 UTC,Mekong Express
"The bus made a stop at Kampot, but when I booked my trip nothing is specify... Moreover we made a stop of more than 1 hour, it's not tolerable when we don't know this information. You have to ask the bus company to say it to the customer before ",2,2017-02-14 17:04:33 UTC,Champa Mekong
Kampot Express hires drivers who do not care for the safety of passengers or anyone else on the open road. All passengers were holding on for dear life as our driver wildly weaved in and out of traffic and passed other vehicles at inopportune times. ,1.8,2017-02-15 01:03:41 UTC,Kampot Express
Cambodia Post VIP Van hires excellent drivers for its minivan services between Phnom Penh & Siem Reap.The Toyota Hi Aces offer comfortable seats and the driver values passenger comfort and safety. An excellent long-range transportation option in Cambodia!,4.6,2017-02-15 03:29:41 UTC,CamPost
"Terrifying ride. There were at least ten times we almost had a serious accident and it's because the driver was going way too fast. I know if you asked all the passengers if they would be okay with arriving 20 minutes later but safely, they'd say yes. ",2.8,2017-02-15 04:07:50 UTC,Kampot Express
We wait more than 5 hours at Phnom Penh. The 2 drivers are inconscious they drive very fast  And very bad.,1,2017-02-15 11:53:07 UTC,Virak Buntham Old
My bus has been canceled. I had to wait 4 hours to have another mini van from another company. The mini van was full and I had to seat on a pile of luggages and backpacks. ,1.2,2017-02-15 11:55:54 UTC,CTT Transportation
"Great service, I would use again. We left from Siem Reap on time and arrived Phnom Penh on time or little bit earlier. ",5,2017-02-15 13:10:37 UTC,CamPost
The service was very good.Thankyou.,5,2017-02-16 00:40:00 UTC,CamPost
Does the job very efficiently ,4.2,2017-02-16 02:22:09 UTC,Mekong Express
Very good journey. The company gave us snacks and water at the starts. We arrived on time with no issue. I recommend. ,5,2017-02-16 07:42:34 UTC,PSD Xpress
,5,2017-02-16 08:00:46 UTC,Nattakan
Didn't have knowledge of our reservation on bookmebus.com. Seats were occupied. Thankfully they let us on. Good journey although a bit late ,2.2,2017-02-16 10:09:04 UTC,Phnom Penh Sorya
,4.6,2017-02-16 10:14:30 UTC,CTT Transportation
Everything was great except for luggage storage. It needs a good cleaning. Only bus that dirtied my backpack in Southeast Asia.  ,3,2017-02-16 10:19:42 UTC,Sapaco
"The most comfortable/best ride in Asia! The driver was driving by speed limit, did not overtake other cars, and made enough stops in between. Bus was clean, seats comfortable, air-conditioning at normal temperature. POST van is the way of travel Cambodia",5,2017-02-16 13:16:16 UTC,CamPost
Overall happy with the service. ,4,2017-02-16 14:14:44 UTC,CTT Transportation
,4.6,2017-02-17 05:25:26 UTC,Nattakan
Great service from Bangkok to Siem Reap. The assistant offered good advice at the border crossing and seemed genuinely concerned about everyones experience. Arrival into Siem reap was handeled well with free tuk tuks to hostels. Snacks and lunch inc. ,4.8,2017-02-17 07:49:12 UTC,Nattakan
,4.2,2017-02-17 10:29:09 UTC,Mekong Express
,5,2017-02-17 10:31:19 UTC,CamPost
Excellent cost effective way of travelling throughout Cambodia,5,2017-02-17 14:11:59 UTC,Phnom Penh Sorya
"The driver was over speeding, overtaking every vehicle almost crashed us four times. Even after asking him politely, he continued to drive like we ware bag of potatoes! I do not recommend this company. Take Ems post van or Giant Ibis.U get to live after. ",2.4,2017-02-17 15:10:49 UTC,CTT Transportation
For the price paid and comparing to similar service in Vietnam and Malaysia...Cambodia wins hands down...food and drink supplied. Strict adherence to seat policy (we lost our seats in malaysia). Toilet on board which was great and clean and smelt fresh. ,4.8,2017-02-18 10:24:51 UTC,Mekong Express
Driver used his horn constantly on poor motorbike drivers who were as far to the right as possible. I had seat 2B as did another passenger; luckily the bus was not full.,4.4,2017-02-18 10:36:58 UTC,PSD Xpress
"It was perfect !
Thanks a lot for everything.",5,2017-02-18 11:26:05 UTC,Larryta Bus
,5,2017-02-18 15:10:40 UTC,Virak Buntham Old
"We arrived a 1/2 hour early as required but the bus left a half hour late. On the way the bus even stopped for one passenger to buy chips causing the long trip to be even longer for the rest of us. I can live with all this, but no wifi is a game breaker. ",2.2,2017-02-18 15:58:32 UTC,Nattakan
Great service. Left Battambang on time and the journey was fine (although where the road works were near Phnom Penh it was a little bumpy - not the drivers fault though). Seats very comfortable and stop offs were appreciated for snacks. Water provided,5,2017-02-19 06:16:04 UTC,Mekong Express
Great service - even arranged for us to get picked up from our first drop off before going to get others. Seats very comfortable. Driver was very safe. Water provided. Would use again ,5,2017-02-19 06:17:50 UTC,Mekong Express
"Comfortable journey after couple of people went off at first stop. Overall feeling very good. Good ride, nice driver, arrived faster than scheduled. Thumbs up",4.6,2017-02-19 09:43:30 UTC,CamPost
Overall it was interesting experience but delay in start was over 1 hour.,2.8,2017-02-19 10:41:48 UTC,Mekong Explore
Overall it was interesting experience but delay in start was over 1 hour.,2.8,2017-02-19 10:41:53 UTC,Mekong Explore
Overall it was interesting experience but delay in start was over 1 hour.,2.8,2017-02-19 10:41:57 UTC,Mekong Explore
Overall it was interesting experience but delay in start was over 1 hour.,2.8,2017-02-19 10:42:06 UTC,Mekong Explore
Excellent ride from Phnom Penh to Seim Reap. Driver was safe and bus was comfortable. Nice a/c and wifi. ,5,2017-02-19 12:34:02 UTC,CamPost
I am very disappointed with our trip to Bangkok from Siem Reap. The driver is constantly on the phone while driving. The tourist were not given any instructions what to do in the border unlike the Bangkok-Siem Reap trip. Very disappointed.,2.4,2017-02-20 03:32:48 UTC,Nattakan
wonderful trip would 100% recommend,5,2017-02-20 07:44:35 UTC,PSD Xpress
"The bus ride itself was great. Seats were very comfortable and there was a lot of leg room. 
However I was supposed to leave at 5 pm from Kampot and got a phonecall at 3 pm that the bus will arrive at 4:15 pm, I was still in Kep and could barely make it.",3.4,2017-02-20 10:08:07 UTC,CTT Transportation
Highly recommend this mode of transport. Would use it again,4.2,2017-02-20 10:17:32 UTC,CamPost
Best way to get between both destinations. Excellent service,5,2017-02-20 10:23:38 UTC,CamPost
"Not confortable, 1h late, not pick up where i was 3min close, wifi doesnt work...i tried it because it was next to my hotel but finally prefer Bayon express for same price",1.8,2017-02-20 10:23:53 UTC,CTT Transportation
"Good service overall, good break stops!",3.4,2017-02-20 10:56:19 UTC,PSD Xpress
,4,2017-02-20 13:46:46 UTC,Nattakan
វាពិតជាមានភាពងាយស្រួស និងរហ័សក្នុងការកក់សំបុត្រ​ ប៉ុន្តែអ្វីដែលខ្ញុំបានជួបប្រទះគឺថាអ្វីដែលខ្ញុំជ្រើសគឺកៅអីនៅក្នុងអនឡាញផ្សេង​ក៏ប៉ុន្តែពេលដែលជិះជាក់ស្តែងគឺផ្សេង​ ខ្ញុំមិនដឹងថាវាយ៉ាងណាទេ​ សូមពិនិត្យឡើងវិញត្រង់ចំណុចនេះ។​ សូមអរគុណ,4,2017-02-20 14:00:16 UTC,Bayon VIP
Nothing to moan about. Bus was fine and clean and stopped halfway for refreshments and toilet break ,5,2017-02-21 10:06:52 UTC,CTT Transportation
"Easy to use booking system, the whole journey was enjoyable, lots of snacks along the way, we were guided through the visa process at the border and had no issues, the only minor complaint was the smell of the toilet on the bus, will definitely book again",5,2017-02-21 12:12:57 UTC,Nattakan
